accuracy,amenities,bed_type,cancel_policy,instant_book,person_capacity,price,rating_checkin,rating_cleanliness,rating_communication,response_rate,response_time,rev_count,room_type,satisfaction_guest,url
9,"[33, 34, 3, 4, 36, 5, 37, 39, 8, 40, 41, 12, 51, 53, 30, 31]",Real Bed,4,TRUE,2,33,8,8,9,1,1,55,Private room,85,https://www.airbnb.com/rooms/9643113?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[33, 3, 35, 4, 36, 5, 8, 40, 41, 43, 44, 45, 46, 47, 49, 50, 51, 21, 54, 25, 28, 30]",Real Bed,5,TRUE,2,71,9,9,9,1,1,80,Entire home/apt,91,https://www.airbnb.com/rooms/10104962?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
,"[33, 4, 5, 8, 40, 41, 44, 45, 47, 50, 57, 30, 31]",Real Bed,5,FALSE,4,64,,,,1,1110,0,Entire home/apt,,https://www.airbnb.com/rooms/19374949?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
,"[3, 4, 5, 8, 77, 85, 86, 88, 91, 93, 30, 31, 96, 33, 34, 100, 40, 104, 41, 44, 45, 46, 47, 51, 54, 57, 61]",Real Bed,5,TRUE,6,55,,,,1,1,0,Entire home/apt,,https://www.airbnb.com/rooms/19317448?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[1, 33, 35, 4, 5, 39, 8, 40, 41, 44, 45, 47, 51, 21, 54, 57, 28, 30]",Real Bed,5,FALSE,4,86,10,10,10,1,111,21,Entire home/apt,100,https://www.airbnb.com/rooms/16622255?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
